0;1;2;3;4;
Rf02;Rf05;Asset;Communication;0,363636364;High
Rf02;Rf06;Asset;Operation;0,545454545;High
Rf02;Rf06;Asset;Asset;1;Exact
Rf02;Rf09;Asset;SoS;0,363636364;High
Rf02;Rf09;Asset;Constellation;0,307692308;High
Rf02;Rf12;Asset;Executor;0,181818182;Low
Rf02;Rf12;Asset;Connectivity;0,6;High
Rf02;Rf12;Asset;Cooperation;0,363636364;High
Rf02;Rf11;Asset;Role;0,285714286;Low
Rf02;Rf11;Asset;Metric;0,363636364;High
Rf02;Rf11;Asset;Entity;0,333333333;High
Rf02;Rf03;Asset;Platform;0,153846154;Low
Rf02;Rf03;Asset;Payload;0,285714286;Low
Rf02;Rf03;Asset;Software;0,307692308;High
Rf02;Rf08;Asset;Activity;0,363636364;High
Rf02;Rf07;Platform;Mission;0,133333333;Low
Rf02;Rf07;Platform;Event;0,166666667;Low
Rf02;Rf07;Platform;Condition;0,153846154;Low
Rf02;Rf07;Platform;Task;0,125;Low
Rf02;Rf07;Platform;CS;0,266666667;Low
Rf02;Rf07;Platform;Emergent;0,181818182;Low
Rf02;Rf13;Platform;Resource;0,142857143;Low
Rf02;Rf13;Platform;Capability;0,142857143;Low
Rf02;Rf05;Platform;Environment;0,142857143;Low
Rf02;Rf05;Platform;Actor;0,444444444;High
Rf02;Rf05;Platform;Communication;0,142857143;Low
Rf02;Rf06;Platform;Operation;0,142857143;Low
Rf02;Rf06;Platform;Asset;0,153846154;Low
Rf02;Rf09;Platform;SoS;0,142857143;Low
Rf02;Rf09;Platform;Constellation;0,125;Low
Rf02;Rf12;Platform;Executor;0,470588235;High
Rf02;Rf12;Platform;Connectivity;0,153846154;Low
Rf02;Rf12;Platform;Cooperation;0,142857143;Low
Rf02;Rf11;Platform;Role;0,117647059;Low
Rf02;Rf11;Platform;Metric;0,142857143;Low
Rf02;Rf11;Platform;Entity;0,222222222;Low
Rf02;Rf03;Platform;Platform;1;Exact
Rf02;Rf03;Platform;Payload;0,25;Low
Rf02;Rf03;Platform;Software;0,125;Low
Rf02;Rf08;Platform;Activity;0,142857143;Low
Rf02;Rf07;System;Mission;0,142857143;Low
Rf02;Rf07;System;Event;0,181818182;Low
Rf02;Rf07;System;Condition;0,166666667;Low
Rf02;Rf07;System;Task;0,133333333;Low
Rf02;Rf07;System;CS;0,285714286;Low
Rf02;Rf07;System;Emergent;0,2;Low
Rf02;Rf13;System;Resource;0,153846154;Low
Rf02;Rf13;System;Capability;0,153846154;Low
Rf02;Rf05;System;Environment;0,153846154;Low
Rf02;Rf05;System;Actor;0,470588235;High
Rf02;Rf05;System;Communication;0,153846154;Low
Rf02;Rf06;System;Operation;0,153846154;Low
Rf02;Rf06;System;Asset;0,166666667;Low
Rf02;Rf09;System;SoS;0,153846154;Low
Rf02;Rf09;System;Constellation;0,133333333;Low
Rf02;Rf12;System;Executor;0,5;High
Rf02;Rf12;System;Connectivity;0,166666667;Low
Rf02;Rf12;System;Cooperation;0,153846154;Low
Rf02;Rf11;System;Role;0,125;Low
Rf02;Rf11;System;Metric;0,153846154;Low
Rf02;Rf11;System;Entity;0,25;Low
Rf02;Rf03;System;Platform;0,666666667;High
Rf02;Rf03;System;Payload;0,266666667;Low
Rf02;Rf03;System;Software;0,133333333;Low
Rf02;Rf08;System;Activity;0,153846154;Low
Rf02;Rf07;Component;Mission;0,25;Low
Rf02;Rf07;Component;Event;0,461538462;High
Rf02;Rf07;Component;Condition;0,285714286;Low
Rf02;Rf07;Component;Task;0,352941176;High
Rf02;Rf07;Component;CS;0,235294118;Low
Rf02;Rf07;Component;Emergent;0,166666667;Low
Rf02;Rf13;Component;Resource;0,266666667;Low
Rf02;Rf13;Component;Capability;0,266666667;Low
Rf02;Rf05;Component;Environment;0,266666667;Low
Rf02;Rf05;Component;Actor;0,125;Low
Rf02;Rf05;Component;Communication;0,4;High
Rf02;Rf06;Component;Operation;0,266666667;Low
Rf02;Rf06;Component;Asset;0,285714286;Low
Rf02;Rf09;Component;SoS;0,266666667;Low
Rf02;Rf09;Component;Constellation;0,470588235;High
Rf02;Rf12;Component;Executor;0,133333333;Low
Rf02;Rf12;Component;Connectivity;0,285714286;Low
Rf02;Rf12;Component;Cooperation;0,4;High
Rf02;Rf11;Component;Role;0,333333333;High
Rf02;Rf11;Component;Metric;0,266666667;Low
Rf02;Rf11;Component;Entity;0,2;Low
Rf02;Rf03;Component;Platform;0,117647059;Low
Rf02;Rf03;Component;Payload;0,222222222;Low
Rf02;Rf03;Component;Software;0,235294118;Low
Rf02;Rf08;Component;Activity;0,4;High
Rf02;Rf07;Capability;Mission;0,307692308;High
Rf02;Rf07;Capability;Event;0,4;High
Rf02;Rf07;Capability;Condition;0,545454545;High
Rf02;Rf07;Capability;Task;0,285714286;Low
Rf02;Rf07;Capability;CS;0,285714286;Low
Rf02;Rf07;Capability;Emergent;0,222222222;Low
Rf02;Rf13;Capability;Resource;0,333333333;High
Rf02;Rf13;Capability;Capability;1;Exact
Rf02;Rf05;Capability;Environment;0,5;High
Rf02;Rf05;Capability;Actor;0,153846154;Low
Rf02;Rf05;Capability;Communication;0,333333333;High
Rf02;Rf06;Capability;Operation;0,5;High
Rf02;Rf06;Capability;Asset;0,727272727;High
Rf02;Rf09;Capability;SoS;0,333333333;High
Rf02;Rf09;Capability;Constellation;0,285714286;Low
Rf02;Rf12;Capability;Executor;0,166666667;Low
Rf02;Rf12;Capability;Connectivity;0,545454545;High
Rf02;Rf12;Capability;Cooperation;0,333333333;High
Rf02;Rf11;Capability;Role;0,266666667;Low
Rf02;Rf11;Capability;Metric;0,333333333;High
Rf02;Rf11;Capability;Entity;0,285714286;Low
Rf02;Rf03;Capability;Platform;0,142857143;Low
Rf02;Rf03;Capability;Payload;0,266666667;Low
Rf02;Rf03;Capability;Software;0,285714286;Low
Rf02;Rf08;Capability;Activity;0,333333333;High
Rf07;Rf13;Event;Mission;0,363636364;High
Rf07;Rf13;Event;Task;0,666666667;High
Rf07;Rf13;Event;Resource;0,4;High
Rf07;Rf13;Event;Capability;0,4;High
Rf07;Rf05;Event;Environment;0,4;High
Rf07;Rf05;Event;Actor;0,181818182;Low
Rf07;Rf05;Event;Communication;0,8;High
Rf07;Rf06;Event;Operation;0,4;High
Rf07;Rf06;Event;Asset;0,444444444;High
Rf07;Rf09;Event;SoS;0,4;High
Rf07;Rf09;Event;Constellation;0,5;High
Rf07;Rf09;Event;CS;0,333333333;High
Rf07;Rf12;Event;Executor;0,2;Low
Rf07;Rf12;Event;Emergent;0,285714286;Low
Rf07;Rf12;Event;Connectivity;0,444444444;High
Rf07;Rf12;Event;Cooperation;0,8;High
Rf07;Rf11;Event;Role;0,615384615;High
Rf07;Rf11;Event;Event;1;Exact
Rf07;Rf11;Event;Metric;0,4;High
Rf07;Rf11;Event;Entity;0,4;High
Rf07;Rf03;Event;Platform;0,166666667;Low
Rf07;Rf03;Event;Payload;0,307692308;High
Rf07;Rf03;Event;Software;0,333333333;High
Rf07;Rf08;Event;Activity;0,8;High
Rf07;Rf10;Event;Condition;0,444444444;High
Rf07;Rf13;Condition;Mission;0,333333333;High
Rf07;Rf13;Condition;Task;0,307692308;High
Rf07;Rf13;Condition;Resource;0,363636364;High
Rf07;Rf13;Condition;Capability;0,545454545;High
Rf07;Rf05;Condition;Environment;0,727272727;High
Rf07;Rf05;Condition;Actor;0,166666667;Low
Rf07;Rf05;Condition;Communication;0,363636364;High
Rf07;Rf06;Condition;Operation;0,727272727;High
Rf07;Rf06;Condition;Asset;0,6;High
Rf07;Rf09;Condition;SoS;0,363636364;High
Rf07;Rf09;Condition;Constellation;0,307692308;High
Rf07;Rf09;Condition;CS;0,307692308;High
Rf07;Rf12;Condition;Executor;0,181818182;Low
Rf07;Rf12;Condition;Emergent;0,25;Low
Rf07;Rf12;Condition;Connectivity;0,6;High
Rf07;Rf12;Condition;Cooperation;0,363636364;High
Rf07;Rf11;Condition;Role;0,285714286;Low
Rf07;Rf11;Condition;Event;0,444444444;High
Rf07;Rf11;Condition;Metric;0,363636364;High
Rf07;Rf11;Condition;Entity;0,333333333;High
Rf07;Rf03;Condition;Platform;0,153846154;Low
Rf07;Rf03;Condition;Payload;0,285714286;Low
Rf07;Rf03;Condition;Software;0,307692308;High
Rf07;Rf08;Condition;Activity;0,363636364;High
Rf07;Rf10;Condition;Condition;1;Exact
Rf07;Rf13;CS;Mission;0,266666667;Low
Rf07;Rf13;CS;Task;0,25;Low
Rf07;Rf13;CS;Resource;0,428571429;High
Rf07;Rf13;CS;Capability;0,285714286;Low
Rf07;Rf05;CS;Environment;0,285714286;Low
Rf07;Rf05;CS;Actor;0,285714286;Low
Rf07;Rf05;CS;Communication;0,285714286;Low
Rf07;Rf06;CS;Operation;0,285714286;Low
Rf07;Rf06;CS;Asset;0,307692308;High
Rf07;Rf09;CS;SoS;0,285714286;Low
Rf07;Rf09;CS;Constellation;0,25;Low
Rf07;Rf09;CS;CS;1;Exact
Rf07;Rf12;CS;Executor;0,307692308;High
Rf07;Rf12;CS;Emergent;0,2;Low
Rf07;Rf12;CS;Connectivity;0,307692308;High
Rf07;Rf12;CS;Cooperation;0,285714286;Low
Rf07;Rf11;CS;Role;0,235294118;Low
Rf07;Rf11;CS;Event;0,333333333;High
Rf07;Rf11;CS;Metric;0,428571429;High
Rf07;Rf11;CS;Entity;0,25;Low
Rf07;Rf03;CS;Platform;0,266666667;Low
Rf07;Rf03;CS;Payload;0,470588235;High
Rf07;Rf03;CS;Software;0,25;Low
Rf07;Rf08;CS;Activity;0,285714286;Low
Rf07;Rf10;CS;Condition;0,307692308;High
Rf07;Rf13;Emergent;Mission;0,2;Low
Rf07;Rf13;Emergent;Task;0,181818182;Low
Rf07;Rf13;Emergent;Resource;0,222222222;Low
Rf07;Rf13;Emergent;Capability;0,222222222;Low
Rf07;Rf05;Emergent;Environment;0,222222222;Low
Rf07;Rf05;Emergent;Actor;0,181818182;Low
Rf07;Rf05;Emergent;Communication;0,222222222;Low
Rf07;Rf06;Emergent;Operation;0,222222222;Low
Rf07;Rf06;Emergent;Asset;0,25;Low
Rf07;Rf09;Emergent;SoS;0,222222222;Low
Rf07;Rf09;Emergent;Constellation;0,181818182;Low
Rf07;Rf09;Emergent;CS;0,2;Low
Rf07;Rf12;Emergent;Executor;0,2;Low
Rf07;Rf12;Emergent;Emergent;1;Exact
Rf07;Rf12;Emergent;Connectivity;0,25;Low
Rf07;Rf12;Emergent;Cooperation;0,222222222;Low
Rf07;Rf11;Emergent;Role;0,166666667;Low
Rf07;Rf11;Emergent;Event;0,285714286;Low
Rf07;Rf11;Emergent;Metric;0,222222222;Low
Rf07;Rf11;Emergent;Entity;0,5;High
Rf07;Rf03;Emergent;Platform;0,181818182;Low
Rf07;Rf03;Emergent;Payload;0,181818182;Low
Rf07;Rf03;Emergent;Software;0,181818182;Low
Rf07;Rf08;Emergent;Activity;0,222222222;Low
Rf07;Rf10;Emergent;Condition;0,25;Low
Rf13;Rf05;Resource;Mission;0,307692308;High
Rf13;Rf05;Resource;Environment;0,333333333;High
Rf13;Rf05;Resource;Actor;0,153846154;Low
Rf13;Rf05;Resource;Communication;0,333333333;High
Rf13;Rf01;Resource;Task;0,285714286;Low
Rf13;Rf01;Resource;Capability;0,333333333;High
Rf13;Rf06;Resource;Operation;0,333333333;High
Rf13;Rf06;Resource;Asset;0,363636364;High
Rf13;Rf09;Resource;SoS;0,333333333;High
Rf13;Rf09;Resource;Constellation;0,285714286;Low
Rf13;Rf09;Resource;CS;0,428571429;High
Rf13;Rf12;Resource;Executor;0,166666667;Low
Rf13;Rf12;Resource;Emergent;0,222222222;Low
Rf13;Rf12;Resource;Connectivity;0,363636364;High
Rf13;Rf12;Resource;Cooperation;0,333333333;High
Rf13;Rf11;Resource;Role;0,266666667;Low
Rf13;Rf11;Resource;Event;0,4;High
Rf13;Rf11;Resource;Metric;0,5;High
Rf13;Rf11;Resource;Entity;0,285714286;Low
Rf13;Rf03;Resource;Platform;0,142857143;Low
Rf13;Rf03;Resource;Payload;0,4;High
Rf13;Rf03;Resource;Software;0,285714286;Low
Rf13;Rf08;Resource;Activity;0,333333333;High
Rf13;Rf10;Resource;Condition;0,363636364;High
Rf05;Rf01;Environment;Mission;0,307692308;High
Rf05;Rf01;Environment;Task;0,285714286;Low
Rf05;Rf01;Environment;Capability;0,5;High
Rf05;Rf06;Environment;Operation;0,666666667;High
Rf05;Rf06;Environment;Asset;0,545454545;High
Rf05;Rf09;Environment;SoS;0,333333333;High
Rf05;Rf09;Environment;Constellation;0,285714286;Low
Rf05;Rf09;Environment;CS;0,285714286;Low
Rf05;Rf12;Environment;Executor;0,166666667;Low
Rf05;Rf12;Environment;Emergent;0,222222222;Low
Rf05;Rf12;Environment;Connectivity;0,545454545;High
Rf05;Rf12;Environment;Cooperation;0,333333333;High
Rf05;Rf11;Environment;Role;0,266666667;Low
Rf05;Rf11;Environment;Actor;0,153846154;Low
Rf05;Rf11;Environment;Event;0,4;High
Rf05;Rf11;Environment;Metric;0,333333333;High
Rf05;Rf11;Environment;Entity;0,285714286;Low
Rf05;Rf03;Environment;Platform;0,142857143;Low
Rf05;Rf03;Environment;Payload;0,266666667;Low
Rf05;Rf03;Environment;Software;0,285714286;Low
Rf05;Rf08;Environment;Activity;0,333333333;High
Rf05;Rf10;Environment;Condition;0,727272727;High
Rf05;Rf01;Actor;Mission;0,142857143;Low
Rf05;Rf01;Actor;Task;0,133333333;Low
Rf05;Rf01;Actor;Capability;0,153846154;Low
Rf05;Rf06;Actor;Operation;0,153846154;Low
Rf05;Rf06;Actor;Asset;0,166666667;Low
Rf05;Rf09;Actor;SoS;0,153846154;Low
Rf05;Rf09;Actor;Constellation;0,133333333;Low
Rf05;Rf09;Actor;CS;0,285714286;Low
Rf05;Rf12;Actor;Executor;0,631578947;High
Rf05;Rf12;Actor;Emergent;0,181818182;Low
Rf05;Rf12;Actor;Connectivity;0,166666667;Low
Rf05;Rf12;Actor;Cooperation;0,153846154;Low
Rf05;Rf11;Actor;Role;0,125;Low
Rf05;Rf11;Actor;Actor;1;Exact
Rf05;Rf11;Actor;Event;0,181818182;Low
Rf05;Rf11;Actor;Metric;0,153846154;Low
Rf05;Rf11;Actor;Entity;0,25;Low
Rf05;Rf03;Actor;Platform;0,444444444;High
Rf05;Rf03;Actor;Payload;0,266666667;Low
Rf05;Rf03;Actor;Software;0,133333333;Low
Rf05;Rf08;Actor;Activity;0,153846154;Low
Rf05;Rf10;Actor;Condition;0,166666667;Low
Rf05;Rf01;Communication;Mission;0,307692308;High
Rf05;Rf01;Communication;Task;0,714285714;High
Rf05;Rf01;Communication;Capability;0,333333333;High
Rf05;Rf06;Communication;Operation;0,333333333;High
Rf05;Rf06;Communication;Asset;0,363636364;High
Rf05;Rf09;Communication;SoS;0,333333333;High
Rf05;Rf09;Communication;Constellation;0,428571429;High
Rf05;Rf09;Communication;CS;0,285714286;Low
Rf05;Rf12;Communication;Executor;0,166666667;Low
Rf05;Rf12;Communication;Emergent;0,222222222;Low
Rf05;Rf12;Communication;Connectivity;0,363636364;High
Rf05;Rf12;Communication;Cooperation;0,769230769;High
Rf05;Rf11;Communication;Role;0,666666667;High
Rf05;Rf11;Communication;Actor;0,153846154;Low
Rf05;Rf11;Communication;Event;0,8;High
Rf05;Rf11;Communication;Metric;0,333333333;High
Rf05;Rf11;Communication;Entity;0,285714286;Low
Rf05;Rf03;Communication;Platform;0,142857143;Low
Rf05;Rf03;Communication;Payload;0,266666667;Low
Rf05;Rf03;Communication;Software;0,285714286;Low
Rf05;Rf08;Communication;Activity;0,833333333;High
Rf05;Rf10;Communication;Condition;0,363636364;High
Rf09;Rf12;SoS;Mission;0,307692308;High
Rf09;Rf12;SoS;Task;0,285714286;Low
Rf09;Rf12;SoS;Executor;0,166666667;Low
Rf09;Rf12;SoS;Emergent;0,222222222;Low
Rf09;Rf12;SoS;CS;0,285714286;Low
Rf09;Rf12;SoS;SoS;1;Exact
Rf09;Rf12;SoS;Connectivity;0,363636364;High
Rf09;Rf12;SoS;Cooperation;0,333333333;High
Rf09;Rf11;SoS;Role;0,266666667;Low
Rf09;Rf11;SoS;Actor;0,153846154;Low
Rf09;Rf11;SoS;Event;0,4;High
Rf09;Rf11;SoS;Metric;0,333333333;High
Rf09;Rf11;SoS;Entity;0,285714286;Low
Rf09;Rf03;SoS;Platform;0,142857143;Low
Rf09;Rf03;SoS;Payload;0,266666667;Low
Rf09;Rf03;SoS;Software;0,428571429;High
Rf09;Rf08;SoS;Activity;0,333333333;High
Rf09;Rf10;SoS;Condition;0,363636364;High
Rf09;Rf12;Constellation;Mission;0,266666667;Low
Rf09;Rf12;Constellation;Task;0,375;High
Rf09;Rf12;Constellation;Executor;0,142857143;Low
Rf09;Rf12;Constellation;Emergent;0,181818182;Low
Rf09;Rf12;Constellation;CS;0,25;Low
Rf09;Rf12;Constellation;SoS;0,285714286;Low
Rf09;Rf12;Constellation;Connectivity;0,307692308;High
Rf09;Rf12;Constellation;Cooperation;0,428571429;High
Rf09;Rf11;Constellation;Role;0,352941176;High
Rf09;Rf11;Constellation;Actor;0,133333333;Low
Rf09;Rf11;Constellation;Event;0,5;High
Rf09;Rf11;Constellation;Metric;0,285714286;Low
Rf09;Rf11;Constellation;Entity;0,222222222;Low
Rf09;Rf03;Constellation;Platform;0,125;Low
Rf09;Rf03;Constellation;Payload;0,235294118;Low
Rf09;Rf03;Constellation;Software;0,25;Low
Rf09;Rf08;Constellation;Activity;0,428571429;High
Rf09;Rf10;Constellation;Condition;0,307692308;High
Rf12;Rf11;Executor;Mission;0,153846154;Low
Rf12;Rf11;Executor;Role;0,133333333;Low
Rf12;Rf11;Executor;Actor;0,631578947;High
Rf12;Rf11;Executor;Event;0,2;Low
Rf12;Rf11;Executor;Metric;0,166666667;Low
Rf12;Rf11;Executor;Task;0,142857143;Low
Rf12;Rf11;Executor;Entity;0,285714286;Low
Rf12;Rf03;Executor;Platform;0,470588235;High
Rf12;Rf03;Executor;Payload;0,285714286;Low
Rf12;Rf03;Executor;Software;0,142857143;Low
Rf12;Rf08;Executor;Activity;0,166666667;Low
Rf12;Rf10;Executor;Condition;0,181818182;Low
Rf12;Rf15;Executor;CS;0,307692308;High
Rf12;Rf11;Connectivity;Mission;0,333333333;High
Rf12;Rf11;Connectivity;Role;0,285714286;Low
Rf12;Rf11;Connectivity;Actor;0,166666667;Low
Rf12;Rf11;Connectivity;Event;0,444444444;High
Rf12;Rf11;Connectivity;Metric;0,363636364;High
Rf12;Rf11;Connectivity;Task;0,307692308;High
Rf12;Rf11;Connectivity;Entity;0,333333333;High
Rf12;Rf03;Connectivity;Platform;0,153846154;Low
Rf12;Rf03;Connectivity;Payload;0,285714286;Low
Rf12;Rf03;Connectivity;Software;0,307692308;High
Rf12;Rf08;Connectivity;Activity;0,363636364;High
Rf12;Rf10;Connectivity;Condition;0,6;High
Rf12;Rf15;Connectivity;CS;0,307692308;High
Rf12;Rf11;Cooperation;Mission;0,307692308;High
Rf12;Rf11;Cooperation;Role;0,625;High
Rf12;Rf11;Cooperation;Actor;0,153846154;Low
Rf12;Rf11;Cooperation;Event;0,8;High
Rf12;Rf11;Cooperation;Metric;0,333333333;High
Rf12;Rf11;Cooperation;Task;0,666666667;High
Rf12;Rf11;Cooperation;Entity;0,285714286;Low
Rf12;Rf03;Cooperation;Platform;0,142857143;Low
Rf12;Rf03;Cooperation;Payload;0,266666667;Low
Rf12;Rf03;Cooperation;Software;0,285714286;Low
Rf12;Rf08;Cooperation;Activity;0,769230769;High
Rf12;Rf10;Cooperation;Condition;0,363636364;High
Rf12;Rf15;Cooperation;CS;0,285714286;Low
Rf11;Rf03;Role;Platform;0,117647059;Low
Rf11;Rf03;Role;Payload;0,222222222;Low
Rf11;Rf03;Role;Software;0,235294118;Low
Rf11;Rf08;Role;Mission;0,25;Low
Rf11;Rf08;Role;Activity;0,8;High
Rf11;Rf10;Role;Task;0,823529412;High
Rf11;Rf10;Role;Condition;0,285714286;Low
Rf11;Rf15;Role;Role;1;Exact
Rf11;Rf15;Role;CS;0,235294118;Low
Rf11;Rf03;Metric;Platform;0,142857143;Low
Rf11;Rf03;Metric;Payload;0,4;High
Rf11;Rf03;Metric;Software;0,285714286;Low
Rf11;Rf08;Metric;Mission;0,307692308;High
Rf11;Rf08;Metric;Activity;0,333333333;High
Rf11;Rf10;Metric;Task;0,285714286;Low
Rf11;Rf10;Metric;Condition;0,363636364;High
Rf11;Rf15;Metric;Role;0,266666667;Low
Rf11;Rf15;Metric;CS;0,428571429;High
Rf11;Rf03;Entity;Platform;0,222222222;Low
Rf11;Rf03;Entity;Payload;0,222222222;Low
Rf11;Rf03;Entity;Software;0,222222222;Low
Rf11;Rf08;Entity;Mission;0,25;Low
Rf11;Rf08;Entity;Activity;0,285714286;Low
Rf11;Rf10;Entity;Task;0,222222222;Low
Rf11;Rf10;Entity;Condition;0,333333333;High
Rf11;Rf15;Entity;Role;0,2;Low
Rf11;Rf15;Entity;CS;0,25;Low
Rf03;Rf08;Payload;Mission;0,25;Low
Rf03;Rf08;Payload;Activity;0,266666667;Low
Rf03;Rf10;Payload;Task;0,235294118;Low
Rf03;Rf10;Payload;Condition;0,285714286;Low
Rf03;Rf15;Payload;Role;0,222222222;Low
Rf03;Rf15;Payload;CS;0,470588235;High
Rf03;Rf08;Software;Mission;0,266666667;Low
Rf03;Rf08;Software;Activity;0,285714286;Low
Rf03;Rf10;Software;Task;0,25;Low
Rf03;Rf10;Software;Condition;0,307692308;High
Rf03;Rf15;Software;Role;0,235294118;Low
Rf03;Rf15;Software;CS;0,25;Low
Rf08;Rf10;Activity;Mission;0,307692308;High
Rf08;Rf10;Activity;Task;0,857142857;High
Rf08;Rf10;Activity;Condition;0,363636364;High
Rf08;Rf15;Activity;Activity;1;Exact
Rf08;Rf15;Activity;Role;0,8;High
Rf08;Rf15;Activity;CS;0,285714286;Low
