Concepts,Rf01,Rf02,Rf03,Rf05,Rf06,Rf07,Rf08,Rf09,Rf10,Rf11,Rf12,Rf13,Rf15
Environment,,,,"groups the environmental events (hurricane, flood, chemical leakage, etc.) and structures",,,,A definition of the environmental factors in which something exists or functions,,,,"contains concepts to describe weather condition, geographic location or mission area (rural, urban, etc.), DB Services, containing different services available such as geo information database and
others",
Actor,,,,"groups the agents, both humans and robots, as actors along with their properties such as roles and team affiliations.",,,,,,"An actor could be used to represent a real life entity as well as a group of entities,,,,,,  an entity which plays an active
role in a task.",,,
Communication ,,,,"groups all concepts needed to facilitate data gathering and exchange between team members, such as communication events (messages, notifications, etc.), media types (video, photo, audio, etc.) and data gathering devices (infra red sensor, camera, etc.)",,,,,,,,,
SoS,,,,,,"is the integration of independent, autonomous systems which are brought together in order to achieve a common mission (US defense industry)",,A set of objectives and goals to be achieved in a specific operational environment,,,A system-of-systems (SoS) can be understood as the result of the interaction among existing heterogeneous independent constituent systems that cooperate to form a larger and more complex system towards the accomplishment of a given mission,,
Missionthread,,,,,,,,"A sequence of end-to-end activities and events, given as a series of steps, that accomplish the execution of one or more capabilities that the SoS supports",,,,,
Constellation,,,,,,,,"A subset of CS that have formed links with other CS, allowing them to exchange information, therefore playing an important role as the provider of a particular SoS capability”",,,,,
Executor,,,,,,,,,,,##,,
Connectivity,,,,,,,,,,,##,,
Cooperation,,,,,,,,,,,##,,
Role,,, ,,,,,,,missions are realized by one or more roles,,,“an abstraction of the characterization of the ideal behavior that will fulfill an action.”
Metric,,,,,,,,,,##,,,measure
MissionSpace,,,,,,,,,,"The mission space diagram includes the missions, extends and includes relations among the missions, the roles and their relations with the missions",,,
Entity,,,a thing with distinct and independent existence (implied),,,,,,,An entity in a mission space conceptual model is semantically equivalent to a class in an object oriented software design model,,,
WorkProduct,,,,,,,,,,##,,,
MissionPlan,,," outlines the specific steps, objectives, and resources required to achieve a particular goal or complete a mission (implied)",,,,"The purpose of space station mission planning is to satisfy various constraints, schedule resources reasonably, reduce the risk, and run the space station more economically",,,,,,
Payload,,,"hardware with particular properties, sensors or modules",,,,,,,,,,
Activity,,,,,,##,the basic action or process of a mission,,,,,,"An activity orders a set of actions; it can regroup triggers and constraints; and it can require input parameters and
provide output parameters "
MissionContext,,,,,,,,,,,,,a set of contextual parameters that will determine the course of actions to be performed
Process,,,,,,,,,"A process describes what must happen on the detected target, such as “classification”, “visualization”, or “signal profile generation”",,,,
Stakeholder,,,,,,,,"A part that has interest in, or is affected by, outcomes or intermediate effects generated or influenced by the SoS",,,,,
Scenario,,,,,,##,,,,,,,
Configuration,,,,,,##,,"A composite structure representing the physical and human resources (and their interactions) in an enterprise, assembled to provide a capability”",,,,,
Target,,,,,,,,,"that must be detected, such as a human or vehicle",,,,
Time,,,,,,"specification of start, end , duration (implied)  ",,,,,,,
Element,,,,,,,,One of the parts which make up the whole thing,,,,,
OperationalConcept,,,,,,,,A user-oriented document that describes a system’s operational characteristics from the end user’s viewpoint,,,,,
Trigger,,,,,,,,,,,defines a necessary and sufficient condition for executing the mission,,1
Constraint,,,,,,,"limited  availability, for example heat  (implied)",,,,"which can be classified into invariants (constraints that must be satisfied) and heuristics (constraints that are desirable, but not mandatory)",,
Priority,,,,,,priority,,,,,defines the commitment of the system within the mission,,
Service,software applications,,,,,,,,,,,encapsulates a distinct functionality (in the scope of our problem that correlates to a specific data processing algorithm),
Sensor,,these are the assets that collect the information required to satisfy the inteligence requirements of a mission. Sensors donot operate as independent entities,,,"a device which detects or measures a physical property and records, indicates, or otherwise responds to it (implied)",,,,,,,different physical entities having sensing capability  (implied),
State,,,,,,,,,,The states that an entity can exist within its lifecycle and the transitions among these states are depicted as entity-state diagrams,,,
Objective,,,,,,,,,,why is the task executed (represented as the objectives of the task),,,
Action,,,"Each action consists of a set of preconditions, which must be true for the action to be performed, and a set of postconditions, which will be true after the action has been completed. ",,"alternative course of action to accomplish mission, describing the who (force structure), what (tasks), when, where and
why (purpose) for each subordinate unit.",,,,,,,,##
